"stock"	"paramlong"	"value"	"param"
"arg-comb-exVa"	"Lmax (cm)"	"55"	"Lmax"
"arg-comb-exVa"	"Lm (cm)"	"34"	"Lm"
"arg-comb-exVa"	"Lc (cm)"	"37"	"Lc"
"arg-comb-exVa"	"Lmean (cm)"	"39"	"Lmean"
"arg-comb-exVa"	"Wmax (g)"	"1660"	"Wmax"
"arg-comb-exVa"	"Wmean (g)"	"590"	"Wmean"
"arg-comb-exVa"	"tmax (years)"	"30"	"tmax"
"arg-comb-exVa"	"tm (years)"	"5.84"	"tm"
"arg-comb-exVa"	"M (1/year)"	""	"M"
"arg-comb-exVa"	"Fmsy (1/year)"	""	"Fmsy"
"arg-comb-exVa"	"F [year]"	""	"F"
"arg-comb-exVa"	"F / Fmsy"	""	"F_Fmsy"
"arg-comb-exVa"	"1st B / k"	"0.5"	"B1_k"
"arg-comb-exVa"	"last+1 B / k range"	"0.01-0.6"	"Blast_k_range"
"arg-comb-exVa"	"intermediate B / k range [year]"	""	"Bint_k_range"
"arg-comb-exVa"	"CPUE trends"	"stable"	"CPUEtrends"
"arg-comb-exVa"	"B / Bmsy"	""	"B_Bmsy"
"arg-comb-exVa"	"Linf (cm)"	"42.4"	"Linf"
"arg-comb-exVa"	"VBGF K (1/year)"	"0.22"	"K"
"arg-comb-exVa"	"to (year)"	"-1.12"	"to"
"arg-comb-exVa"	"a"	"1"	"a"
"arg-comb-exVa"	"b"	"3"	"b"
"arg-comb-Va"	"Lmax (cm)"	"55"	"Lmax"
"arg-comb-Va"	"Lm (cm)"	"37"	"Lm"
"arg-comb-Va"	"Lc (cm)"	"37"	"Lc"
"arg-comb-Va"	"Lmean (cm)"	"35"	"Lmean"
"arg-comb-Va"	"Wmax (g)"	"1660"	"Wmax"
"arg-comb-Va"	"Wmean (g)"	"590"	"Wmean"
"arg-comb-Va"	"tmax (years)"	"30"	"tmax"
"arg-comb-Va"	"tm (years)"	"6.54"	"tm"
"arg-comb-Va"	"M (1/year)"	""	"M"
"arg-comb-Va"	"Fmsy (1/year)"	""	"Fmsy"
"arg-comb-Va"	"F [year]"	""	"F"
"arg-comb-Va"	"F / Fmsy"	""	"F_Fmsy"
"arg-comb-Va"	"1st B / k"	"0.5"	"B1_k"
"arg-comb-Va"	"last+1 B / k range"	"0.01-0.6"	"Blast_k_range"
"arg-comb-Va"	"intermediate B / k range [year]"	""	"Bint_k_range"
"arg-comb-Va"	"CPUE trends"	"stable"	"CPUEtrends"
"arg-comb-Va"	"B / Bmsy"	""	"B_Bmsy"
"arg-comb-Va"	"Linf (cm)"	"47.9"	"Linf"
"arg-comb-Va"	"VBGF K (1/year)"	"0.17"	"K"
"arg-comb-Va"	"to (year)"	"-2.14"	"to"
"arg-comb-Va"	"a"	"0.01"	"a"
"arg-comb-Va"	"b"	"3"	"b"
"bli-comb"	"Lmax (cm)"	"148"	"Lmax"
"bli-comb"	"Lm (cm)"	"85"	"Lm"
"bli-comb"	"Lc (cm)"	"90"	"Lc"
"bli-comb"	"Lmean (cm)"	"90.2"	"Lmean"
"bli-comb"	"Wmax (g)"	"19600"	"Wmax"
"bli-comb"	"Wmean (g)"	"4566"	"Wmean"
"bli-comb"	"tmax (years)"	"25"	"tmax"
"bli-comb"	"tm (years)"	"9"	"tm"
"bli-comb"	"M (1/year)"	"0.18"	"M"
"bli-comb"	"Fmsy (1/year)"	"0.144"	"Fmsy"
"bli-comb"	"F [year]"	"0.1"	"F"
"bli-comb"	"F / Fmsy"	"Below"	"F_Fmsy"
"bli-comb"	"1st B / k"	"0.9"	"B1_k"
"bli-comb"	"last+1 B / k range"	"0.4"	"Blast_k_range"
"bli-comb"	"intermediate B / k range [year]"	"0.2 [2004]"	"Bint_k_range"
"bli-comb"	"CPUE trends"	"increasing"	"CPUEtrends"
"bli-comb"	"B / Bmsy"	"below"	"B_Bmsy"
"bli-comb"	"Linf (cm)"	"140"	"Linf"
"bli-comb"	"VBGF K (1/year)"	"0.13"	"K"
"bli-comb"	"to (year)"	"1"	"to"
"bli-comb"	"a"	"0.00116"	"a"
"bli-comb"	"b"	"3.273"	"b"
"dab-nsea"	"Lmax (cm)"	"40"	"Lmax"
"dab-nsea"	"Lm (cm)"	"20"	"Lm"
"dab-nsea"	"Lc (cm)"	"15"	"Lc"
"dab-nsea"	"Lmean (cm)"	"20"	"Lmean"
"dab-nsea"	"Wmax (g)"	"536"	"Wmax"
"dab-nsea"	"Wmean (g)"	"27"	"Wmean"
"dab-nsea"	"tmax (years)"	"7"	"tmax"
"dab-nsea"	"tm (years)"	"2"	"tm"
"dab-nsea"	"M (1/year)"	"0.37"	"M"
"dab-nsea"	"Fmsy (1/year)"	"0.30"	"Fmsy"
"dab-nsea"	"F [year]"	""	"F"
"dab-nsea"	"F / Fmsy"	""	"F_Fmsy"
"dab-nsea"	"1st B / k"	"0.5"	"B1_k"
"dab-nsea"	"last+1 B / k range"	"0.01-0.6"	"Blast_k_range"
"dab-nsea"	"intermediate B / k range [year]"	"0.01-0.3"	"Bint_k_range"
"dab-nsea"	"CPUE trends"	"Increase"	"CPUEtrends"
"dab-nsea"	"B / Bmsy"	""	"B_Bmsy"
"dab-nsea"	"Linf (cm)"	"36"	"Linf"
"dab-nsea"	"VBGF K (1/year)"	"0.4"	"K"
"dab-nsea"	"to (year)"	"0"	"to"
"dab-nsea"	"a"	"0.005"	"a"
"dab-nsea"	"b"	"3.14"	"b"
"lem-nsea"	"Lmax (cm)"	"51"	"Lmax"
"lem-nsea"	"Lm (cm)"	"27"	"Lm"
"lem-nsea"	"Lc (cm)"	"20"	"Lc"
"lem-nsea"	"Lmean (cm)"	"25"	"Lmean"
"lem-nsea"	"Wmax (g)"	"1670"	"Wmax"
"lem-nsea"	"Wmean (g)"	"165"	"Wmean"
